Baseline:350
Kinetic read 1 (0:00.00)
	1	2	3
B	0.079	0.079	0.078	Baseline:350 Read#1

Baseline:350

Kinetic read	B1	B2	B3
6:54.09	0.083	0.085	0.086
6:54.71	0.083	0.085	0.086
6:55.33	0.083	0.085	0.086
6:55.95	0.083	0.085	0.086
6:56.57	0.083	0.086	0.086
6:57.19	0.084	0.086	0.086
6:57.81	0.084	0.086	0.086
6:58.43	0.083	0.086	0.086
6:59.05	0.084	0.086	0.086
6:59.67	0.083	0.086	0.086
7:00.29	0.083	0.086	0.086
7:00.91	0.084	0.086	0.086
7:01.53	0.084	0.086	0.086
7:02.15	0.084	0.086	0.086
7:02.77	0.084	0.086	0.086
7:03.39	0.084	0.086	0.086
7:04.01	0.084	0.086	0.086
7:04.63	0.084	0.086	0.086
7:05.25	0.084	0.086	0.086
7:05.87	0.084	0.086	0.086
7:06.49	0.084	0.086	0.086
7:07.11	0.084	0.086	0.086
7:07.73	0.084	0.086	0.086
7:08.35	0.084	0.086	0.086
7:08.97	0.084	0.086	0.086
7:09.59	0.084	0.086	0.086
7:10.21	0.084	0.086	0.086
7:10.83	0.084	0.086	0.086
7:11.45	0.084	0.086	0.086
7:12.07	0.084	0.086	0.087
7:12.69	0.084	0.086	0.087
7:13.31	0.084	0.086	0.087
7:13.93	0.084	0.086	0.087
7:14.55	0.084	0.086	0.087
7:15.17	0.084	0.086	0.087
7:15.79	0.084	0.086	0.087
7:16.41	0.084	0.086	0.087
7:17.03	0.084	0.086	0.087
7:17.65	0.084	0.086	0.087
7:18.27	0.084	0.086	0.087
7:18.89	0.084	0.086	0.087
7:19.51	0.084	0.086	0.087
7:20.13	0.084	0.086	0.087
7:20.75	0.084	0.087	0.087
7:21.37	0.084	0.087	0.087
7:21.99	0.084	0.087	0.087
7:22.61	0.084	0.087	0.087
7:23.23	0.084	0.087	0.087
7:23.85	0.084	0.087	0.087
7:24.47	0.084	0.087	0.087
7:25.09	0.084	0.087	0.087
7:25.71	0.084	0.087	0.087
7:26.33	0.085	0.087	0.087
7:26.95	0.085	0.087	0.087
7:27.57	0.085	0.087	0.088
7:28.19	0.085	0.087	0.088
7:28.81	0.085	0.087	0.087
7:29.43	0.085	0.087	0.087
7:30.05	0.085	0.087	0.088
7:30.67	0.085	0.087	0.088
7:31.29	0.085	0.087	0.088
7:31.91	0.085	0.087	0.088
7:32.53	0.085	0.087	0.088
7:33.15	0.085	0.087	0.088
7:33.77	0.085	0.087	0.088
7:34.39	0.085	0.087	0.088
7:35.01	0.085	0.087	0.088
7:35.63	0.085	0.087	0.088
7:36.25	0.085	0.087	0.088
7:36.87	0.085	0.087	0.088
7:37.49	0.085	0.087	0.088
7:38.11	0.085	0.087	0.088
